"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_643145_643825",2.14244238268301,-1.75348142173872,4.75336832412016,-0.368892394229366,0.712207932694256,NA
"Ga0573226_01_6431821_6432774",11.3121096158302,-0.833723127552907,2.39314747378593,-0.348379335868494,0.727555319279146,NA
"Ga0573226_01_6432856_6434370",2.91923511839396,-1.99481973918577,3.22517059337034,-0.618516038589189,0.536235228750676,NA
"Ga0573226_01_6434370_6435410",3.12714152820398,-1.74554875273977,3.39109517817088,-0.514744842308231,0.606731333567823,NA
"Ga0573226_01_6435407_6436399",2.95460492054797,-2.18813000892669,4.14615013661123,-0.527749824977423,0.597672986234859,NA
"Ga0573226_01_6436396_6437115",5.41680154116136,-0.421296098922999,3.07323020831082,-0.137085760052633,0.890963008033786,NA
"Ga0573226_01_6437263_6438771",7.50706171367912,-3.7221209412447,3.86462027279825,-0.963127210050479,0.335483688209296,NA
"Ga0573226_01_6438816_6439739",5.92451998054858,-3.36024024974366,3.37868559930616,-0.994540672986473,0.319959714209067,NA
"Ga0573226_01_6439739_6441481",0.969478391164063,-0.771788478230081,5.10503061265964,-0.151181949098634,0.879832189155889,NA
"Ga0573226_01_644066_645385",8.03468876030366,-2.63033439621302,2.93082640029707,-0.897471919847049,0.369467150639044,NA
"Ga0573226_01_6441485_6442480",0.864341373747358,-0.0951863647347065,5.56448104787286,-0.0171060632457529,0.986352001850297,NA
"Ga0573226_01_6442485_6443729",3.9714187010191,-2.36317631973586,3.02243158027576,-0.781879178062401,0.434285582954796,NA
"Ga0573226_01_6443743_6445257",1.09500606674191,-0.772246260432405,5.27270798500384,-0.146461033425093,0.883557448979034,NA
"Ga0573226_01_6445342_6446421",7.50272240879585,-3.68691284166869,3.24465849891885,-1.13630227738827,0.255830077997571,NA
"Ga0573226_01_6446581_6447537",17.5698976912921,-0.202877706150368,2.36363369339138,-0.0858329726461447,0.931599194810183,NA
"Ga0573226_01_6448015_6456543",12.1328455932937,-4.34730496185188,2.75595892927711,-1.57742008259614,0.114698897492673,NA
"Ga0573226_01_645404_646468",3.19352288102171,-1.48521479314818,3.22488140724621,-0.460548654536862,0.645122456638995,NA
"Ga0573226_01_6456975_6459854",3.44721604716672,-2.49776967583727,3.47035607412915,-0.719744493787732,0.471682325846948,NA
"Ga0573226_01_6459866_6461272",3.92793219752649,-2.63053984003858,3.5085507079524,-0.749751124895032,0.453404609962206,NA
"Ga0573226_01_6461518_6463113",58.0772338372962,-6.64769827118742,3.20085315251386,-2.07685199990087,0.0378152211186596,0.0975470659922514
"Ga0573226_01_6463535_6463729",37.211239178589,-6.03553475326774,4.01443035106313,-1.50345982504575,0.132720509422339,NA
"Ga0573226_01_6463767_6464393",29.6655597910371,-5.70185970553537,3.31742986036478,-1.71875817893205,0.0856584134997398,NA
"Ga0573226_01_6464434_6464652",94.5926379114889,-7.32471459228802,3.95683786088092,-1.85115358521597,0.064147460971445,0.11444839167639
"Ga0573226_01_6464801_6465406",0.91193639358015,-0.0976757866521773,5.75883416871004,-0.0169610347842428,0.98646770103471,NA
"Ga0573226_01_646496_648949",2.09646610221547,-1.77420639891992,4.16986743214587,-0.42548268686971,0.670484839964052,NA
"Ga0573226_01_6465403_6465855",7.39074116397299,-3.64212036846227,4.23446639054848,-0.860113183704007,0.389726654551949,NA
"Ga0573226_01_6465861_6466364",11.2298103770393,-4.31181206461602,3.52451121437074,-1.2233787332085,0.221186682004976,NA
"Ga0573226_01_6466391_6467686",4.94722029460441,-3.09210080613765,3.58891852994161,-0.861568960214864,0.38892475795298,NA
"Ga0573226_01_6467738_6468175",22.6524479354952,-5.31243486906867,3.27892149478841,-1.62017751187772,0.105194150682788,NA
"Ga0573226_01_6468339_6468551",6.42338925912453,-3.29199620614761,4.48965610535595,-0.73324017004786,0.463411959000426,NA
"Ga0573226_01_6468596_6468796",19.0283267499389,-4.56415728879006,5.24275503060412,-0.870564667268869,NA,NA
"Ga0573226_01_6468902_6469138",150.556248615944,3.97111334933009,2.56169861584865,1.55018756881145,0.121096502656853,0.176477232476361
"Ga0573226_01_6469165_6469329",873.519067926214,-6.11378336742692,2.93303455330383,-2.08445664594719,0.0371186498410472,0.0974923574138348
"Ga0573226_01_6469588_6470238",35.6472912575312,-5.91065026082471,3.24293146804703,-1.82262570734628,0.068360099346001,NA
"Ga0573226_01_6470360_6471649",9.11835202846534,-3.86783584088916,3.36904098109476,-1.14805247623682,0.250946901239319,NA
"Ga0573226_01_6471739_6472344",5.00337129192664,-2.88562598047536,3.4455463378749,-0.837494463143723,0.402314687918942,NA
"Ga0573226_01_6472596_6473486",0.505855124647669,0.105079601561538,5.76340493918208,0.0182322086805252,0.985453608091617,NA
"Ga0573226_01_6474943_6476277",1.37463766757809,2.54450102403297,4.66056044219432,0.545964601380634,0.585090270201028,NA
"Ga0573226_01_6477277_6478275",0.362394923987267,0.105090520900081,5.76340519971305,0.0182341024547975,0.985452097329509,NA
"Ga0573226_01_6478349_6479671",0.406185732410671,1.00038165973349,5.77056397202133,0.173359426320176,0.86236891527979,NA
"Ga0573226_01_6479711_6480520",0.582322438735858,1.00037734436704,5.77056397202076,0.173358678496154,0.862369503057982,NA
"Ga0573226_01_6482581_6483543",1.48866711017662,-0.76923995276859,4.38546145989892,-0.175406843681696,0.86075996347447,NA
"Ga0573226_01_6484529_6485503",4.44223547447497,-0.762748817688066,3.45853514307875,-0.220541005406432,0.825449840719639,NA
"Ga0573226_01_6485514_6486515",0.326529873822167,0.105097368596798,5.76340536310298,0.0182352900716693,0.985451149905867,NA
"Ga0573226_01_6486512_6488023",1.19639508887169,1.00038589069553,4.79499487406811,0.208631274270121,0.834736094441064,NA
"Ga0573226_01_6488196_6489161",2.66374663030266,-2.14586746662117,4.5059534771552,-0.476229387964286,0.63391096489597,NA
"Ga0573226_01_6489427_6490446",0.987410916246613,-0.771863720465365,5.13072350686155,-0.150439547060588,0.88041784224181,NA
"Ga0573226_01_6490465_6491628",0.487922599565119,0.105080468319012,5.76340495986227,0.0182323590049315,0.985453488170028,NA
"Ga0573226_01_6491654_6491968",6.85585923075332,-3.29120732194734,4.64095561676048,-0.709165868783873,0.47822155124496,NA
"Ga0573226_01_649189_650214",4.96811423302411,-0.307955405579008,3.24138788370251,-0.0950072674508929,0.924309054443971,NA
"Ga0573226_01_6491965_6493557",0.784918909230331,0.104586633095759,5.59719479530568,0.018685544620222,0.985091959965027,NA
"Ga0573226_01_6493582_6494340",0.635127222561784,-0.418209349662242,5.7526169291026,-0.0726989741914697,0.942045664867583,NA
"Ga0573226_01_6494337_6495821",0.526861449717888,0.105078695723178,5.76340491756949,0.0182320515782,0.985453733420305,NA
"Ga0573226_01_6495825_6496934",1.40713458387078,-0.066335037360623,4.16089489140691,-0.0159424929232455,0.987280269852416,NA
"Ga0573226_01_6496939_6497811",2.58018386415248,0.0935069972140291,3.75446574444271,0.024905540116443,0.980130308232234,NA
"Ga0573226_01_6497811_6498716",1.58285595183621,-0.430553504205863,4.96821736973362,-0.0866615673518624,0.930940526250689,NA
"Ga0573226_01_6498775_6500022",4.61842853678816,-2.88568226056184,3.4038945532416,-0.847759005288145,0.396572197922075,NA
"Ga0573226_01_6500067_6501596",1.18914501470399,-0.769662201851415,4.48226648657406,-0.17171272706717,0.86366337968186,NA
"Ga0573226_01_6501599_6502366",0.635127222561784,-0.418209349662242,5.7526169291026,-0.0726989741914697,0.942045664867583,NA
"Ga0573226_01_650228_651139",6.17921504303653,-3.35071360909983,3.29821030723697,-1.01591872469371,0.309668091370462,NA
"Ga0573226_01_6503941_6504939",0.882994029217171,-0.42048139147688,5.57785304428468,-0.0753840927931445,0.939909115306448,NA
"Ga0573226_01_6505402_6506124",10.3702715549617,-4.19185595867228,3.3615416220333,-1.24700403267259,0.212396018918549,NA
"Ga0573226_01_6506310_6507224",0.452057549400019,0.105082466287637,5.76340500753247,0.0182327055187515,0.985453211737951,NA
"Ga0573226_01_6507214_6510603",1.39433157889244,-0.769722002669715,4.49498616997283,-0.171240127013421,0.864034956653538,NA
"Ga0573226_01_6510786_6511340",31.1132727941029,-5.46497699557665,3.375412603162,-1.61905450920495,0.105435535414225,NA
"Ga0573226_01_651139_652320",15.2310253040135,-4.50472609335295,3.3463170005469,-1.34617434409733,0.178246297050869,NA
"Ga0573226_01_6511666_6512952",4.2206494831696,-2.63638385004464,3.16023754092218,-0.834235976222005,0.40414802185898,NA
"Ga0573226_01_6513236_6514858",0.685920139341927,0.105074207487739,5.7634048104841,0.0182312731697418,0.985454354397183,NA
"Ga0573226_01_65139_66374",2.27453984281277,-0.436447633924801,4.70010055316279,-0.0928592120504967,0.926015409753578,NA
"Ga0573226_01_6514855_6516090",0.982348714633629,0.103782607182266,5.35327196659864,0.0193867615599975,0.98453257116994,NA
"Ga0573226_01_6516095_6516841",5.42859401523293,0.285180841983427,3.37061377194984,0.0846079857492704,0.932573050126507,NA
"Ga0573226_01_6516845_6517540",2.31540082554234,-1.98968521706449,3.95452213418959,-0.503141757600061,0.614864609900562,NA
"Ga0573226_01_6517767_6519050",1.47927140473624,-1.21576737621161,4.97025619885665,-0.244608593112621,0.806759509820543,NA
"Ga0573226_01_6519252_6520559",9.93392137336586,-3.42274259519875,2.82329557962714,-1.21232173488926,0.2253892470834,NA
"Ga0573226_01_6520836_6521585",2.07867256065227,-1.48925157533717,4.910062913308,-0.303306006792862,0.761656668915869,NA
"Ga0573226_01_6521640_6522083",3.21276630073887,1.00037412971364,4.97524813616984,0.201070198376834,0.840643684336578,NA
"Ga0573226_01_6522262_6522510",99.1031286713389,-6.77139714871599,3.50175439434859,-1.93371561399172,0.053148103010259,0.105329876874877
"Ga0573226_01_6522534_6523061",35.0859446977638,-4.46680050869128,2.66099054941076,-1.67862321408108,0.0932254993948086,NA
"Ga0573226_01_652324_652572",77.1481092980488,-7.03570895729323,3.89294002358422,-1.80729960252906,0.0707155779875142,0.120670025075464
"Ga0573226_01_6523411_6523521",750.76129317645,-1.57904042961585,3.22352617488093,-0.489848800335606,0.624240895421253,0.678162035889534
"Ga0573226_01_6523571_6524236",8.62400868031394,-2.19758465731196,3.88561772485631,-0.565568929556298,0.571686854222093,NA
"Ga0573226_01_6524321_6524470",78.136951425016,-6.36831804347545,3.58588558431037,-1.77594011123481,0.0757427887538183,0.124176935606576
"Ga0573226_01_6524476_6526722",2.09592744048226,-1.47277872116497,3.65392555980036,-0.403067522055768,0.686898552320287,NA
"Ga0573226_01_6526727_6527239",3.67925578500317,-2.64446469237809,3.85167033532342,-0.686576072756247,0.492349910828923,NA
"Ga0573226_01_6527250_6528713",2.15026367746313,-1.77438177715572,4.21920981303561,-0.420548362319791,0.674084907270719,NA
"Ga0573226_01_652789_653319",8.89878652723452,-3.3618085491118,3.47207776009776,-0.968241145906001,0.332923950126305,NA
"Ga0573226_01_6528886_6529764",11.2224304985045,-4.27444421344642,3.55678579242218,-1.2017716171025,0.229452024985752,NA
"Ga0573226_01_6529768_6529923",287.094343955902,-8.96151870345721,3.92615415819762,-2.28251829713462,0.0224587584887567,0.0861321585707175
"Ga0573226_01_6529929_6530663",17.7283961917916,-4.97073038810957,3.15440795400837,-1.57580454417545,0.115070854837438,NA
"Ga0573226_01_6530678_6532495",12.3754371323983,-1.63629969815566,2.25787408652258,-0.724708126074371,0.468631108859062,NA
"Ga0573226_01_6532653_6533555",1.56111273536888,-1.19815587592057,5.00356719776539,-0.239460334709939,0.81074865014468,NA
"Ga0573226_01_653363_654145",0.452057549400019,0.105082466287637,5.76340500753247,0.0182327055187515,0.985453211737951,NA
"Ga0573226_01_6534581_6535903",1.05630996310766,1.00037019400829,5.77056397202017,0.173357439387,0.862370476978907,NA
"Ga0573226_01_6535911_6536960",2.91629777841768,-1.54839335679794,4.12968143008191,-0.374942567123689,0.707703180529722,NA
"Ga0573226_01_6537052_6537801",1.25251538662926,-0.772144810629265,5.23023876281975,-0.147630891369285,0.882634074437594,NA
"Ga0573226_01_6537888_6539252",1.27321161040414,1.00038697501031,4.69488487747954,0.213080192830494,0.831264413715537,NA
"Ga0573226_01_6539382_6540095",4.81674673742933,-2.64606053736236,3.59261264075317,-0.736528204389893,0.461409309653033,NA
